"","Total.VolumeA","Speed_KM","OccupancyA"
"405",900,106,-1
"406",786,108,-1
"407",774,105,-1
"408",996,108,-1
"409",1014,109,-1
"410",1056,111,-1
"411",900,109,-1
"412",828,108,-1
"413",840,105,-1
"414",720,106,-1
"415",702,105,-1
"416",720,101,-1
"417",768,106,-1
"418",720,109,-1
"419",330,95,-1
"420",294,103,-1
"421",384,103,-1
"422",510,105,-1
"423",570,105,-1
"424",552,103,-1
"425",582,108,-1
"426",516,101,-1
"427",504,109,-1
"428",456,105,-1
"429",444,103,-1
"430",324,105,-1
"431",396,101,-1
"432",408,103,-1
"433",384,103,-1
"434",678,109,-1
"435",618,103,-1
"436",660,101,-1
"437",756,101,-1
"438",804,109,-1
"439",732,105,-1
"440",864,108,-1
"441",732,109,-1
"442",660,111,-1
"443",660,108,-1
"444",534,108,-1
"445",780,108,-1
"446",924,106,-1
"447",606,109,-1
"448",876,108,-1
"449",1074,106,-1
"450",942,106,-1
"451",1026,108,-1
"452",720,106,-1
"453",990,109,-1
"454",756,106,-1
"455",672,106,-1
"456",750,105,-1
"457",924,106,-1
"458",1008,106,-1
"459",1032,108,-1
"460",1104,109,-1
"461",1050,106,-1
"462",1002,106,-1
"463",1092,109,-1
"464",1146,106,-1
"465",1098,105,-1
"466",1092,100,-1
"467",1224,105,-1
"468",894,105,-1
"469",1026,106,-1
"470",1350,108,-1
"471",912,103,-1
"472",1020,103,-1
"473",1188,103,-1
"474",1128,100,-1
"475",1386,108,-1
"476",1224,101,-1
"477",1050,105,-1
"478",1134,105,-1
"479",828,105,-1
"480",1050,105,-1
"481",1248,106,-1
"482",1038,105,-1
"483",1140,103,-1
"484",1200,106,-1
"485",1086,108,-1
"486",738,106,-1
"487",720,100,-1
"488",744,105,-1
"489",1104,105,-1
"490",822,105,-1
"491",1002,108,-1
"492",1038,101,-1
"493",1122,103,-1
"494",1098,103,-1
"495",1200,105,-1
"496",1146,108,-1
"497",1176,106,-1
"498",552,101,-1
"499",882,105,-1
"500",990,105,-1
"501",990,100,-1
"502",846,103,-1
"503",1056,101,-1
"504",1146,103,-1
"505",1122,106,-1
"506",1110,105,-1
"507",822,108,-1
"508",936,105,-1
"509",918,106,-1
"510",1134,106,-1
"511",762,106,-1
"512",1092,105,-1
"513",1128,106,-1
"514",882,108,-1
"515",738,105,-1
"516",840,106,-1
"517",1188,111,-1
"518",936,105,-1
"519",954,103,-1
"520",960,106,-1
"521",948,106,-1
"522",1092,103,-1
"523",1164,105,-1
"524",1146,103,-1
"525",1230,105,-1
"526",1128,103,-1
"527",1128,106,-1
"528",1062,106,-1
"529",780,105,-1
"530",1086,105,-1
"531",1092,106,-1
"532",1056,108,-1
"533",822,108,-1
"534",1122,108,-1
"535",1098,106,-1
"536",870,109,-1
"537",672,106,-1
"538",1044,109,-1
"539",1110,111,-1
"540",1044,108,-1
"541",1146,111,-1
"542",798,111,-1
"543",738,111,-1
"544",1092,108,-1
"545",1038,106,-1
"546",1002,108,-1
"547",1074,109,-1
"548",1038,108,-1
"549",930,106,-1
"550",924,109,-1
"551",1008,105,-1
"552",864,108,-1
"553",624,109,-1
"554",942,109,-1
"555",588,111,-1
"556",996,109,-1
"557",732,105,-1
"558",972,109,-1
"559",708,108,-1
"560",1020,106,-1
"561",1026,105,-1
"562",918,108,-1
"563",720,106,-1
"564",702,108,-1
"565",816,105,-1
"566",798,109,-1
"567",828,101,-1
"568",630,106,-1
"569",522,106,-1
"570",1230,105,-1
"571",1302,105,-1
"572",990,106,-1
"573",1362,105,-1
"574",1410,106,-1
"575",1194,106,-1
"576",1044,106,-1
"577",1248,105,-1
"578",1140,105,-1
"579",1182,106,-1
"580",1098,108,-1
"581",1206,105,-1
"582",1134,105,-1
"583",1182,105,-1
"584",678,111,-1
"585",708,109,-1
